service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
55103,1,1,1,1,1,0,0,20260608,20260828
54336,1,1,1,1,0,0,0,20260608,20260828
51371,0,0,1,0,0,0,0,20260610,20260828
49418,1,1,1,1,0,0,0,20260618,20260828
43603,1,1,1,1,0,0,0,20260608,20260827
40684,0,1,0,1,0,0,0,20260608,20260827
24956,1,1,1,1,0,0,0,20260608,20260717
10866,0,0,0,0,0,0,1,20260614,20260823
10733,0,0,0,0,0,0,0,20260612,20260828
10099,0,0,0,0,0,0,1,20260614,20260823
10087,0,0,0,0,0,1,0,20260613,20260822
9451,0,0,0,0,0,0,0,20260612,20260828
4918,1,1,1,1,1,0,0,20260608,20260617
2965,1,1,0,1,1,0,0,20260608,20260616
2919,0,0,0,0,0,0,0,20260615,20260706
2073,0,0,0,0,1,0,0,20260615,20260624
1953,0,0,1,0,0,0,0,20260610,20260617
1540,0,0,1,0,0,0,0,20260701,20260701
1324,0,0,1,0,0,0,0,20260617,20260617
1282,0,0,0,0,1,0,0,20260619,20260626
767,0,0,0,0,1,0,0,20260703,20260703
629,0,0,1,0,0,0,0,20260610,20260610
402,1,0,0,0,0,0,0,20260706,20260706
186,0,0,0,0,1,0,0,20260626,20260626
