service_id,date,exception_type
54336,20260703,2
54336,20260710,1
54336,20260828,1
54336,20260619,1
54336,20260626,1
54336,20260814,1
54336,20260821,1
54336,20260612,1
54336,20260807,1
54336,20260731,1
54336,20260717,1
54336,20260724,1
51371,20260615,2
51371,20260706,1
51371,20260622,1
51371,20260629,1
51371,20260824,1
51371,20260810,1
51371,20260817,1
51371,20260803,1
51371,20260720,1
51371,20260727,1
51371,20260713,1
51371,20260616,2
51371,20260728,1
51371,20260714,1
51371,20260721,1
51371,20260707,1
51371,20260623,1
51371,20260630,1
51371,20260825,1
51371,20260811,1
51371,20260818,1
51371,20260804,1
51371,20260611,2
51371,20260827,1
51371,20260618,1
51371,20260813,1
51371,20260820,1
51371,20260806,1
51371,20260730,1
51371,20260716,1
51371,20260723,1
51371,20260709,1
51371,20260625,1
51371,20260702,1
51371,20260703,2
51371,20260612,2
51371,20260710,1
51371,20260828,1
51371,20260619,1
51371,20260626,1
51371,20260814,1
51371,20260821,1
51371,20260807,1
51371,20260731,1
51371,20260717,1
51371,20260724,1
49418,20260703,2
49418,20260710,1
49418,20260828,1
49418,20260619,1
49418,20260626,1
49418,20260814,1
49418,20260821,1
49418,20260807,1
49418,20260731,1
49418,20260717,1
49418,20260724,1
40684,20260706,2
40684,20260615,2
40684,20260622,1
40684,20260629,1
40684,20260824,1
40684,20260810,1
40684,20260817,1
40684,20260608,1
40684,20260803,1
40684,20260720,1
40684,20260727,1
40684,20260713,1
40684,20260624,2
40684,20260701,2
40684,20260610,1
40684,20260805,1
40684,20260729,1
40684,20260715,1
40684,20260722,1
40684,20260708,1
40684,20260826,1
40684,20260617,1
40684,20260812,1
40684,20260819,1
24956,20260703,2
24956,20260717,1
24956,20260710,1
24956,20260626,1
24956,20260619,1
24956,20260612,1
10866,20260710,2
10866,20260619,2
10866,20260626,2
10866,20260814,2
10866,20260821,2
10866,20260807,2
10866,20260731,2
10866,20260717,2
10866,20260724,2
10866,20260703,1
10733,20260703,2
10733,20260710,1
10733,20260828,1
10733,20260619,1
10733,20260626,1
10733,20260814,1
10733,20260821,1
10733,20260612,1
10733,20260807,1
10733,20260731,1
10733,20260717,1
10733,20260724,1
9451,20260703,2
9451,20260619,2
9451,20260626,2
9451,20260710,1
9451,20260828,1
9451,20260814,1
9451,20260821,1
9451,20260612,1
9451,20260807,1
9451,20260731,1
9451,20260717,1
9451,20260724,1
2919,20260629,2
2919,20260622,2
2919,20260706,1
2919,20260615,1
2919,20260617,2
2919,20260701,1
2919,20260624,1
2073,20260622,2
2073,20260615,1
2073,20260617,2
2073,20260624,1
