route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100001,1,"1","","Kinnear - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/001.html,FDB71A,000000
100002,1,"10","","Capitol Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/010.html,FDB71A,000000
100003,1,"101","","Renton Transit Center - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/101.html,FDB71A,000000
100004,1,"105","","Renton Highlands - Renton Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/105.html,FDB71A,000000
100005,1,"106","","Renton Transit Center - Skyway - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/106.html,FDB71A,000000
100006,1,"107","","Renton Transit Center - Rainier Beach",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/107.html,FDB71A,000000
100009,1,"11","","Madison Park - Capitol Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/011.html,FDB71A,000000
100011,1,"111","","Lake Kathleen - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/111.html,FDB71A,000000
100012,1,"113","","Shorewood - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/113.html,FDB71A,000000
100016,1,"118","","Tahlequah - Vashon - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/118.html,FDB71A,000000
100017,1,"119","","Dockton - Vashon - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/119.html,FDB71A,000000
100018,1,"12","","Interlaken Park - Capitol Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/012.html,FDB71A,000000
100023,1,"124","","Tukwila International Blvd Sta - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/124.html,FDB71A,000000
100024,1,"125","","Westwood Vill - S Seattle Coll - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/125.html,FDB71A,000000
100026,1,"128","","Southcenter - Alaska Junction - Admiral District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/128.html,FDB71A,000000
100028,1,"13","","Seattle Pacific - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/013.html,FDB71A,000000
100030,1,"131","","Burien TC - Georgetown - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/131.html,FDB71A,000000
100031,1,"132","","Burien TC - South Park - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/132.html,FDB71A,000000
100039,1,"14","","Mt Baker - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/014.html,FDB71A,000000
100042,1,"148","","Fairwood - Renton Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/148.html,FDB71A,000000
100045,1,"150","","Kent Station - Southcenter - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/150.html,FDB71A,000000
100048,1,"153","","Kent Sounder Station - Renton Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/153.html,FDB71A,000000
100060,1,"168","","Maple Valley - Kent Sounder Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/168.html,FDB71A,000000
100062,1,"17","","Loyal Heights-Sunset Hill-Ballard-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/017.html,FDB71A,000000
100068,1,"177","","Federal Way S 320th P&R - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/177.html,FDB71A,000000
100072,1,"181","","Twin Lakes P&R - Auburn Station - Green River Coll",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/181.html,FDB71A,000000
100073,1,"182","","Northeast Tacoma - Federal Way",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/182.html,FDB71A,000000
100074,1,"183","","Federal Way - Star Lake - Kent Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/183.html,FDB71A,000000
100089,1,"2","","West Queen Anne - Downtown Seattle - Madrona Park",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/002.html,FDB71A,000000
100099,1,"208","","North Bend - Issaquah Transit Center",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/208.html,FDB71A,000000
100101,1,"21","","Arbor Heights-Westwood Village-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/021.html,FDB71A,000000
100104,1,"212","","Eastgate P&R - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/212.html,FDB71A,000000
100111,1,"22","","Westwood Villge-Shorewood-Gatewood-Alaska Junction",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/022.html,FDB71A,000000
100132,1,"24","","West Magnolia - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/024.html,FDB71A,000000
100133,1,"240","","Bellevue TC-South Bellevue-Eastgate-Renton TC",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/240.html,FDB71A,000000
100136,1,"245","","Kirkland Transit Center - Eastgate P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/245.html,FDB71A,000000
100146,1,"255","","Totem Lake TC-Kirkand TC-UW Link Sta-Univ Dist",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/255.html,FDB71A,000000
100160,1,"269","","Issaquah Transit Center - Marymoor Village Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/269.html,,
100161,1,"27","","Colman Park - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/027.html,FDB71A,000000
100162,1,"271","","Issaquah - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/271.html,FDB71A,000000
100169,1,"28","","Whittier Heights - Fremont - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/028.html,FDB71A,000000
100173,1,"3","","Summit - Downtown Seattle - Madrona",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/003.html,FDB71A,000000
100177,1,"303","","Aurora Village - Northgate Station - First Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/303.html,FDB71A,000000
100184,1,"31","","Children's Hospital - Fremont - Central Magnolia",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/031.html,FDB71A,000000
100193,1,"32","","Children's Hospital - Fremont -Seattle Center West",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/032.html,FDB71A,000000
100194,1,"33","","Discovery Park - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/033.html,FDB71A,000000
100196,1,"331","","Shoreline Comm Coll-Aurora Village TC-Kenmore P&R",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/331.html,FDB71A,000000
100202,1,"345","","Shoreline South/148th Station - Northgate Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/345.html,FDB71A,000000
100203,1,"346","","Aurora Village TC - Shoreline South/148th Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/346.html,FDB71A,000000
100205,1,"348","","Richmond Beach - Shoreline North - Northgate",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/348.html,FDB71A,000000
100210,1,"36","","Othello Station - Beacon Hill - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/036.html,FDB71A,000000
100214,1,"372","","UW/Cascadia College - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/372.html,FDB71A,000000
100219,1,"4","","East Queen Anne - Downtown Seattle - Judkins Park",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/004.html,FDB71A,000000
100223,1,"43","","Univ Dist-Montlake-Capitol Hill-Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/043.html,FDB71A,000000
100224,1,"44","","Ballard - Montlake",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/044.html,FDB71A,000000
100225,1,"45","","Loyal Heights - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/045.html,FDB71A,000000
100228,1,"48","","Mt Baker - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/048.html,FDB71A,000000
100229,1,"5","","Shoreline CC - Greenwood - Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/005.html,FDB71A,000000
100230,1,"50","","West Seattle - SODO - Beacon Hill - Columbia City",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/050.html,FDB71A,000000
100232,40,"522","","Woodinville - Roosevelt Link Station",3,https://www.soundtransit.org/522,2B376E,FFFFFF
100236,40,"545","","Redmond - Seattle",3,https://www.soundtransit.org/545,2B376E,FFFFFF
100239,40,"550","","Bellevue - Seattle",3,https://www.soundtransit.org/550,2B376E,FFFFFF
100240,40,"554","","Issaquah - Seattle",3,https://www.soundtransit.org/554,2B376E,FFFFFF
100242,1,"56","","Alki - Admiral District - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/056.html,FDB71A,000000
100246,1,"57","","Alaska Junction - Genesee Hill - Admiral District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/057.html,FDB71A,000000
100249,1,"60","","Westwood Village - Georgetown - Broadway",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/060.html,FDB71A,000000
100252,1,"62","","Sand Point - Green Lake - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/062.html,FDB71A,000000
100254,1,"65","","Lake City  - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/065.html,FDB71A,000000
100259,1,"67","","Northgate - Roosevelt - University District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/067.html,FDB71A,000000
100263,1,"7","","Prentice St - Rainier Beach - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/007.html,FDB71A,000000
100264,1,"70","","University District - Eastlake - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/070.html,FDB71A,000000
100269,1,"75","","Northgate - Lake City - Sand Point - Univ District",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/075.html,FDB71A,000000
100272,1,"773","","Seacrest Park - West Seattle Junction",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/773.html,,
100275,1,"8","","Seattle Center - Capitol Hill - Rainier Beach",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/008.html,FDB71A,000000
100289,1,"9","","Rainier Beach - Columbia City - Broadway",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/009.html,FDB71A,000000
100290,1,"901","","Mirror Lake - Federal Way",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/901.html,,
100292,1,"903","","Twin Lakes - Federal Way",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/903.html,,
100297,1,"914","","Downtown Kent - Kent East Hill",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/914.html,,
100300,1,"917","","Pacific - Algona - Auburn Station",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/917.html,,
100336,1,"973","","Water Taxi: West Seattle - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,4298CC,FFFFFF
100337,1,"975","","Water Taxi: Vashon Island - Downtown Seattle",4,http://www.kingcounty.gov/transportation/kcdot/WaterTaxi.aspx,32CD32,FFFFFF
100340,23,"South Lake Union Streetcar","","Streetcar: Fairview/Aloha - Westlake/McGraw",0,https://www.seattle.gov/transportation/getting-around/transit/streetcar/south-lake-union-line,F47836,FFFFFF
100447,1,"49","","Univ District - Broadway - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/049.html,FDB71A,000000
100451,40,"556","","Issaquah-University District",3,https://www.soundtransit.org/556,2B376E,FFFFFF
100459,1,"218","","Issaquah Highlands - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/218.html,FDB71A,000000
100481,1,"775","","Seacrest Park - Admiral District - Alki",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/775.html,,
100487,1,"102","","Fairwood - Downtown Seattle",3,https://kingcounty.gov/en/dept/metro/routes-and-service/schedules-and-maps/102.html,FDB71A,000000
