route_name,trip_headsign,direction_id,direction_name,direction_do
"101",Aurora Village Transit Center,0,to Aurora Village Transit Center,
"101",Mariner Park & Ride,1,to Mariner Park & Ride,
"102",Lynnwood City Center Station,1,to Lynnwood City Center Station,
"102",Edmonds Station,0,to Edmonds Station,
"103",Seaway Transit Center/Hardeson Road,1,to Seaway Transit Center/Hardeson Road,
"103",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"106",UW Bothell/Cascadia College,0,to UW Bothell/Cascadia College,
"106",Mariner Park & Ride,1,to Mariner Park & Ride,
"109",Ash Way Park & Ride,0,to Ash Way Park & Ride,
"109",Lake Stevens Transit Center,1,to Lake Stevens Transit Center,
"111",Mountlake Terrace Station,0,to Mountlake Terrace Station,
"111",Brier,1,to Brier,
"112",Mountlake Terrace Station,0,to Mountlake Terrace Station,
"112",Ash Way Park & Ride,1,to Ash Way Park & Ride,
"114",Lynnwood City Center Station,1,to Lynnwood City Center Station,
"114",Aurora Village Transit Center,0,to Aurora Village Transit Center,
"117",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"117",Mukilteo Ferry Terminal,1,to Mukilteo Ferry Terminal,
"119",Mountlake Terrace Station,0,to Mountlake Terrace Station,
"119",Ash Way Park & Ride,1,to Ash Way Park & Ride,
"120",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"120",UW Bothell/Cascadia College,1,to UW Bothell/Cascadia College,
"121",Ash Way Park & Ride,1,to Ash Way Park & Ride,
"121",UW Bothell/Cascadia College,0,to UW Bothell/Cascadia College,
"130",Edmonds Station,0,to Edmonds Station,
"130",Lynnwood City Center Station,1,to Lynnwood City Center Station,
"166",Silver Firs,1,to Silver Firs,
"166",Edmonds Station,0,to Edmonds Station,
"201",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"201",Smokey Point Transit Center,1,to Smokey Point Transit Center,
"202",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"202",Smokey Point Transit Center,1,to Smokey Point Transit Center,
"209",Lake Stevens Transit Center,0,to Lake Stevens Transit Center,
"209",Smokey Point Transit Center,1,to Smokey Point Transit Center,
"220",Smokey Point Transit Center,0,to Smokey Point Transit Center,
"220",Arlington,1,to Arlington,
"222",Tulalip,0,to Tulalip,
"222",Marysville,1,to Marysville,
"230",Smokey Point Transit Center,0,to Smokey Point Transit Center,
"230",Darrington,1,to Darrington,
"240",Stanwood Downtown,0,to Stanwood Downtown,
"240",Smokey Point Transit Center,1,to Smokey Point Transit Center,
"270",Everett Station,0,to Everett Station,
"270",Monroe/Gold Bar,1,to Monroe/Gold Bar,
"271",Everett Station,0,to Everett Station,
"271",Monroe/Gold Bar,1,to Monroe/Gold Bar,
"280",Everett Station,0,to Everett Station,
"280",Lake Stevens Transit Center/Granite Falls Park and Ride,1,to Lake Stevens Transit Center/Granite Falls Park and Ride,
"510",Seattle,0,to Seattle,
"510",Everett Station,1,to Everett Station,
"512",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"512",Everett Station,1,to Everett Station,
"513",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"513",Seaway Transit Center,1,to Seaway Transit Center,
"515",Downtown Seattle,0,to Downtown Seattle,
"515",Lynnwood City Center Station,1,to Lynnwood City Center Station,
"532",Bellevue Transit Center,0,to Bellevue Transit Center,
"532",Everett Station,1,to Everett Station,
"535",Bellevue Transit Center,0,to Bellevue Transit Center,
"535",Lynnwood City Center Station,1,to Lynnwood City Center Station,
"Swift Blue",Shoreline North/185th Station,0,to Shoreline North/185th Station,
"Swift Blue",Everett Station,1,to Everett Station,
"Swift Green",Canyon Park Park & Ride,0,to Canyon Park Park & Ride,
"Swift Green",Seaway Transit Center,1,to Seaway Transit Center,
"Swift Orange",Edmonds College,0,to Edmonds College,
"Swift Orange",McCollum Park Park & Ride,1,to McCollum Park Park & Ride,
"901",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"901",Silver Firs,1,to Silver Firs,
"903",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"903",Lake Stevens Transit Center,1,to Lake Stevens Transit Center,
"904",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"904",Marysville,1,to Marysville,
"905",Lynnwood City Center Station,0,to Lynnwood City Center Station,
"905",Stanwood Downtown Park & Ride,1,to Stanwood Downtown Park & Ride,
"907",Paine Field Airport,0,to Paine Field Airport,
"907",Stanwood I-5 Park & Ride,1,to Stanwood I-5 Park & Ride,
"908",Snohomish Park & Ride,1,to Snohomish Park & Ride,
"908",Bellevue,0,to Bellevue,
"909",Mountlake Terrace Station,1,to Mountlake Terrace Station,
"909",Edmonds Station,0,to Edmonds Station,
