shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
101:179,47.879677,-122.238451,10001,0.00
101:179,47.879650,-122.238450,10002,2.99
101:179,47.879530,-122.238390,10003,17.04
101:179,47.879390,-122.238540,10004,36.21
101:179,47.879400,-122.238820,10005,57.21
101:179,47.879520,-122.238810,10006,70.56
101:179,47.879960,-122.238810,10007,119.48
101:179,47.880370,-122.238810,10008,165.05
101:179,47.880800,-122.238810,10009,212.84
101:179,47.881020,-122.238810,10010,237.32
101:179,47.881160,-122.238810,10011,252.86
101:179,47.881490,-122.238810,10012,289.56
101:179,47.881920,-122.238800,10013,337.38
101:179,47.881920,-122.239290,10014,374.02
101:179,47.881920,-122.239830,10015,414.41
101:179,47.881920,-122.239930,10016,421.87
101:179,47.881920,-122.240210,10017,442.81
101:179,47.881920,-122.240279,10018,448.00
101:179,47.881920,-122.240510,20002,465.25
101:179,47.881920,-122.241120,20003,510.84
101:179,47.881920,-122.241930,20004,571.44
101:179,47.881920,-122.242220,20005,593.11
101:179,47.881910,-122.242400,20006,606.61
101:179,47.881910,-122.242490,20007,613.35
101:179,47.881910,-122.242560,20008,618.59
101:179,47.881900,-122.242840,20009,639.56
101:179,47.881890,-122.243100,20010,659.01
101:179,47.881880,-122.243510,20011,689.70
101:179,47.881870,-122.243950,20012,722.62
101:179,47.881870,-122.244210,20013,742.07
101:179,47.881870,-122.244770,20014,783.95
101:179,47.881870,-122.245040,20015,804.12
101:179,47.881870,-122.245370,20016,828.81
101:179,47.881870,-122.245801,20017,861.00
101:179,47.881870,-122.245870,30002,866.18
101:179,47.881870,-122.246130,30003,885.63
101:179,47.881870,-122.246500,30004,913.30
101:179,47.881870,-122.246830,30005,937.99
101:179,47.881860,-122.247480,30006,986.61
101:179,47.881860,-122.247720,30007,1004.56
101:179,47.881860,-122.248530,30008,1065.12
101:179,47.881860,-122.249350,30009,1126.45
101:179,47.881870,-122.249650,30010,1148.91
101:179,47.881880,-122.249930,30011,1169.88
101:179,47.881900,-122.250160,30012,1187.23
101:179,47.881930,-122.250380,30013,1204.02
101:179,47.882030,-122.250890,30014,1243.77
101:179,47.882070,-122.251038,30015,1255.71
101:179,47.882130,-122.251260,40002,1273.58
101:179,47.882210,-122.251510,40003,1294.27
101:179,47.882300,-122.251750,40004,1314.82
101:179,47.882380,-122.251940,40005,1331.58
101:179,47.882480,-122.252150,40006,1350.84
101:179,47.882650,-122.252470,40007,1381.32
101:179,47.882790,-122.252690,40008,1403.97
101:179,47.883000,-122.252970,40009,1435.33
101:179,47.883210,-122.253210,40010,1464.78
101:179,47.883530,-122.253500,40011,1506.47
101:179,47.883680,-122.253630,40012,1525.77
101:179,47.883890,-122.253800,40013,1552.35
101:179,47.884070,-122.253960,40014,1575.66
101:179,47.884330,-122.254180,40015,1608.92
101:179,47.884660,-122.254460,40016,1651.16
101:179,47.884758,-122.254543,40017,1663.66
101:179,47.884860,-122.254630,50002,1676.80
101:179,47.885050,-122.254790,50003,1701.06
101:179,47.886160,-122.255740,50004,1843.46
101:179,47.886220,-122.255790,50005,1851.11
101:179,47.886330,-122.255880,50006,1865.07
101:179,47.886620,-122.256130,50007,1902.35
101:179,47.886890,-122.256360,50008,1936.97
101:179,47.887420,-122.256800,50009,2004.43
101:179,47.887850,-122.257150,50010,2058.95
101:179,47.888300,-122.257520,50011,2116.13
101:179,47.888390,-122.257590,50012,2127.41
101:179,47.888710,-122.257850,50013,2167.95
101:179,47.889020,-122.258100,50014,2207.15
101:179,47.889420,-122.258440,50015,2258.35
