stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
1,1,"Marine Dr NE & 27th Ave NE",48.055790,-122.195504,0,
7,7,"Marine Dr NE & 23rd Ave NE",48.054792,-122.200918,0,
12,12,"Totem Beach Rd & Tulalip Bay Dr",48.060860,-122.276670,0,
13,13,"Totem Beach Rd & 70th St NW",48.059275,-122.274695,0,
18,18,"Marine Dr NE & 19th Ave NE",48.053202,-122.205236,0,
19,19,"Marine Dr NE & 21st Dr NE",48.054450,-122.201425,0,
20,20,"Marine Dr NE & 27th Ave NE",48.055568,-122.195067,0,
22,22,"Seeman St & Fullerton Ave",48.255155,-121.608266,0,
23,23,"State Ave & 92nd St NE",48.079528,-122.175008,0,
37,37,"N 200th St & Burke Ave N",47.774115,-122.336908,0,
39,39,"Meridian Ave N & N 205th St",47.777216,-122.335431,0,
40,40,"Meridian Ave N & N 203rd St",47.775797,-122.335361,0,
41,41,"N 200th St & Burke Ave N",47.774240,-122.336568,0,
82,82,"Lakeview Dr & Ballinger Playfield",47.790506,-122.328710,0,
83,83,"52nd Ave W & 204th St SW",47.814084,-122.303084,0,
85,85,"67th Ave NE & 69th Pl NE",48.058215,-122.140722,0,
141,141,"Puget Park Dr & 138th Pl SE",47.871081,-122.156891,0,
142,142,"164th St SW & Larch Way",47.849806,-122.248089,0,
143,143,"164th St SE & 1st Ave SE",47.849194,-122.230907,0,
144,144,"Puget Park Dr & 146th St SE",47.865367,-122.163137,0,
145,145,"Puget Park Dr & 148th St SE",47.863676,-122.160503,0,
146,146,"Puget Park Dr & Silver Firs Dr",47.862780,-122.154626,0,
147,147,"Puget Park Dr & 62nd Dr SE",47.863061,-122.147321,0,
148,148,"Snohomish Cascade Dr & 146th Pl SE",47.864635,-122.145328,0,
152,152,"Puget Park Dr & 54th Ave SE",47.868462,-122.160451,0,
154,154,"Snohomish Cascade Dr & 146th Pl SE",47.863900,-122.145529,0,
156,156,"Puget Park Dr & Silver Firs Dr",47.862621,-122.156253,0,
157,157,"Puget Park Dr & 54th Ave SE",47.863795,-122.160181,0,
158,158,"Puget Park Dr & 53rd Ave SE",47.868951,-122.159254,0,
159,159,"Puget Park Dr & 138th Pl SE",47.870991,-122.156717,0,
161,161,"E 1st St & S French Ave",48.192370,-122.122230,0,
162,162,"E 1st St & N Washington Ave",48.192342,-122.119045,0,
165,165,"128th St SE & 3rd Ave SE",47.881878,-122.226415,0,
167,167,"128th St SW & 8th Ave W",47.881762,-122.243642,0,
168,168,"128th St SW & E Gibson Rd",47.881707,-122.249338,0,
171,171,"132nd St SE & 25th Ave SE",47.877948,-122.198222,0,
172,172,"132nd St SE & 29th Dr SE",47.877890,-122.192855,0,
174,174,"132nd St SE & 44th Ave SE",47.877685,-122.172719,0,
179,179,"148th St SW & 48th Ave W",47.864172,-122.296282,0,
180,180,"148th St SW & 52nd Ave W",47.864310,-122.302758,0,
187,187,"164th St SW & 13th Ave W",47.849591,-122.251068,0,
189,189,"164th St SW & Alderwood Mall Pkwy",47.849841,-122.270718,0,
190,190,"164th St SE & 3rd Ave SE",47.849183,-122.227194,0,
193,193,"164th St SW & Larch Way",47.849471,-122.245554,0,
194,194,"164th St SW & North Rd",47.849286,-122.234786,0,
198,198,"168th St SE & 23rd Ave SE",47.845603,-122.201359,0,
199,199,"168th St SE & 25th Ave SE",47.845575,-122.198145,0,
202,202,"168th St SW & 52nd Ave W",47.846503,-122.305560,0,
207,207,"172nd St NE & 27th Ave NE",48.152059,-122.193078,0,
208,208,"172nd St NE & Smokey Point Blvd",48.152304,-122.182395,0,
209,209,"172nd St NE & 3rd Ave NE",48.151965,-122.228617,0,
216,216,"188th St SW & 40th Ave W",47.828153,-122.287281,0,
226,226,"194th St SW & 48th Ave W",47.822772,-122.297205,0,
227,227,"194th St SW & 44th Ave W",47.822710,-122.293442,0,
230,230,"196th St SW & 64th Ave W",47.821117,-122.318917,0,
231,231,"196th St SW & 68th Ave W",47.821210,-122.324356,0,
234,234,"196th St SW & 84th Ave W",47.821398,-122.346403,0,
236,236,"196th St SW & Scriber Lake Rd",47.821077,-122.310274,0,
238,238,"196th St SW & 86th Ave W",47.821388,-122.348575,0,
245,245,"20th St NE & 112th Dr NE",48.015386,-122.079489,0,
248,248,"20th St NE & 116th Ave NE",48.015582,-122.073686,0,
249,249,"20th St NE & 120th Dr NE",48.015546,-122.068703,0,
250,250,"Alderwood Mall Blvd & 44th Ave W",47.817254,-122.289819,0,
252,252,"200th St SW & 56th Ave W",47.817420,-122.307889,0,
257,257,"200th St SW & Cedar Valley Rd",47.817359,-122.299786,0,
259,259,"200th St SW & 56th Ave W",47.817440,-122.310892,0,
260,260,"200th St SW & 60th Ave W",47.817461,-122.314901,0,
262,262,"Alderwood Mall Blvd & 40th Ave W",47.817441,-122.287441,0,
263,263,"204th St SW & 23rd Ave W",47.813419,-122.263839,0,
