route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,H:113:6:Sunday:1:26MAR:1234567,16460806__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460807__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
240,H:113:6:Sunday:1:26MAR:1234567,16460808__H:113:6:Sunday:1:26MAR:31003:1234567,"Stanwood",0,H:113:6:Sunday:1:26MAR:31003:1234567,240:68,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460809__H:113:6:Sunday:1:26MAR:31002:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31002:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460810__H:113:6:Sunday:1:26MAR:31002:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31002:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460811__H:113:6:Sunday:1:26MAR:31003:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31003:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460812__H:113:6:Sunday:1:26MAR:31001:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31001:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460813__H:113:6:Sunday:1:26MAR:31002:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31002:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460814__H:113:6:Sunday:1:26MAR:31002:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31002:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460815__H:113:6:Sunday:1:26MAR:31003:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31003:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460816__H:113:6:Sunday:1:26MAR:31003:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31003:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460817__H:113:6:Sunday:1:26MAR:31001:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31001:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460818__H:113:6:Sunday:1:26MAR:31001:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31001:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460819__H:113:6:Sunday:1:26MAR:31002:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31002:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460820__H:113:6:Sunday:1:26MAR:31003:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31003:1234567,220:51,1,1,W
220,H:113:6:Sunday:1:26MAR:1234567,16460821__H:113:6:Sunday:1:26MAR:31003:1234567,"Smokey Point",0,H:113:6:Sunday:1:26MAR:31003:1234567,220:51,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460822__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460823__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460824__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460825__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460826__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460827__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460828__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460829__H:113:6:Sunday:1:26MAR:31005:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31005:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460830__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460831__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460832__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460833__H:113:6:Sunday:1:26MAR:31004:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31004:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460834__H:113:6:Sunday:1:26MAR:31005:1234567,"Lynnwood City Center Station",0,H:113:6:Sunday:1:26MAR:31005:1234567,120:131,1,1,W
120,H:113:6:Sunday:1:26MAR:1234567,16460835__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460836__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460837__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460838__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460839__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460840__H:113:6:Sunday:1:26MAR:31005:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31005:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460841__H:113:6:Sunday:1:26MAR:31005:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31005:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460842__H:113:6:Sunday:1:26MAR:31005:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31005:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460843__H:113:6:Sunday:1:26MAR:31005:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31005:1234567,120:132,1,1,E
120,H:113:6:Sunday:1:26MAR:1234567,16460844__H:113:6:Sunday:1:26MAR:31004:1234567,"UW Bothell/Cascadia College",1,H:113:6:Sunday:1:26MAR:31004:1234567,120:132,1,1,E
130,H:113:6:Sunday:1:26MAR:1234567,16460845__H:113:6:Sunday:1:26MAR:41004:1234567,"Lynnwood City Center Station",1,H:113:6:Sunday:1:26MAR:41004:1234567,130:151,1,1,E
130,H:113:6:Sunday:1:26MAR:1234567,16460846__H:113:6:Sunday:1:26MAR:41005:1234567,"Lynnwood City Center Station",1,H:113:6:Sunday:1:26MAR:41005:1234567,130:151,1,1,E
130,H:113:6:Sunday:1:26MAR:1234567,16460847__H:113:6:Sunday:1:26MAR:41018:1234567,"Lynnwood City Center Station",1,H:113:6:Sunday:1:26MAR:41018:1234567,130:151,1,1,E
