fare_id,agency_id,fare_period_id,price,descriptions,currency_type,payment_method,transfers,transfer_duration
300,"1",1,0,"KCM Regular Free","USD",0,,5400
100,"1",1,0,"KCM Regular Free","USD",0,,5400
101,"1",1,3,"KCM Regular 1 Zone","USD",0,,5400
110,"1",2,3,"KCM Peak 1 Zone","USD",0,,5400
305,"1",1,4.75,"Custom High","USD",0,0,0
501,"40",1,3,"ST Regular 1 Zone","USD",0,0,0
502,"40",1,3,"ST Regular 2 Zone","USD",0,0,0
700,"1",1,6.25,"Water Taxi","USD",0,0,0
701,"1",1,7,"Vashon Water Taxi","USD",0,0,0
900,"1",1,3,"DART","USD",0,,5400
915,"23",1,3,"Stcr Regular","USD",1,,0
