service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,0,0,0,20260607,20260829
2,0,0,0,0,1,0,0,20260607,20260829
3,0,0,0,0,0,0,1,20260607,20260829
4,0,0,0,0,0,1,0,20260607,20260829
5,0,0,0,0,0,0,1,20260607,20260829
6,0,0,1,0,0,0,0,20260607,20260829
7,0,0,0,0,1,0,0,20260607,20260829
8,0,0,0,0,1,0,0,20260607,20260829
9,0,0,0,0,0,1,0,20260607,20260829
10,1,0,0,0,0,0,0,20260607,20260829
11,0,0,0,0,0,1,0,20260607,20260829
12,1,0,0,0,0,0,0,20260607,20260829
13,0,0,0,0,0,0,1,20260607,20260829
14,0,0,0,0,0,0,1,20260607,20260829
15,0,0,0,0,0,1,0,20260607,20260829
16,0,0,0,0,0,1,0,20260607,20260829
17,0,0,0,0,1,0,0,20260607,20260829
18,0,0,0,1,0,0,0,20260607,20260829
19,0,0,1,0,0,0,0,20260607,20260829
