service_id,date,exception_type
1,20260615,2
1,20260618,2
1,20260624,2
1,20260701,2
1,20260706,2
1,20260828,1
2,20260612,2
2,20260619,1
2,20260626,2
2,20260703,2
2,20260710,2
2,20260717,2
2,20260724,2
2,20260731,2
2,20260807,2
2,20260814,2
2,20260821,2
2,20260828,2
3,20260621,2
3,20260628,2
3,20260703,1
3,20260719,2
4,20260613,2
4,20260620,2
4,20260627,2
4,20260704,2
4,20260711,2
4,20260718,1
4,20260725,2
4,20260801,2
4,20260808,2
4,20260815,2
4,20260822,2
4,20260829,2
5,20260607,2
5,20260614,2
5,20260621,2
5,20260628,2
5,20260705,2
5,20260712,2
5,20260719,1
5,20260726,2
5,20260802,2
5,20260809,2
5,20260816,2
5,20260823,2
6,20260610,2
6,20260617,2
6,20260624,1
6,20260701,2
6,20260708,2
6,20260715,2
6,20260722,2
6,20260729,2
6,20260805,2
6,20260812,2
6,20260819,2
6,20260826,2
7,20260612,1
7,20260619,2
7,20260626,2
7,20260703,2
7,20260710,2
7,20260717,2
7,20260724,2
7,20260731,2
7,20260807,2
7,20260814,2
7,20260821,2
7,20260828,2
8,20260612,2
8,20260619,2
8,20260626,1
8,20260703,2
8,20260710,2
8,20260717,2
8,20260724,2
8,20260731,2
8,20260807,2
8,20260814,2
8,20260821,2
8,20260828,2
9,20260613,2
9,20260620,1
9,20260627,2
9,20260704,2
9,20260711,2
9,20260718,2
9,20260725,2
9,20260801,2
9,20260808,2
9,20260815,2
9,20260822,2
9,20260829,2
10,20260608,2
10,20260615,1
10,20260622,2
10,20260629,2
10,20260706,2
10,20260713,2
10,20260720,2
10,20260727,2
10,20260803,2
10,20260810,2
10,20260817,2
10,20260824,2
11,20260620,2
11,20260627,2
11,20260718,2
11,20260829,2
12,20260608,2
12,20260615,2
12,20260622,2
12,20260629,2
12,20260706,1
12,20260713,2
12,20260720,2
12,20260727,2
12,20260803,2
12,20260810,2
12,20260817,2
12,20260824,2
13,20260607,2
13,20260614,2
13,20260621,1
13,20260628,2
13,20260705,2
13,20260712,2
13,20260719,2
13,20260726,2
13,20260802,2
13,20260809,2
13,20260816,2
13,20260823,2
14,20260607,2
14,20260614,2
14,20260621,2
14,20260628,1
14,20260705,2
14,20260712,2
14,20260719,2
14,20260726,2
14,20260802,2
14,20260809,2
14,20260816,2
14,20260823,2
15,20260613,2
15,20260620,2
15,20260627,1
15,20260704,2
15,20260711,2
15,20260718,2
15,20260725,2
15,20260801,2
15,20260808,2
15,20260815,2
15,20260822,2
15,20260829,2
16,20260613,2
16,20260620,2
16,20260627,2
16,20260704,2
16,20260711,2
16,20260718,2
16,20260725,2
16,20260801,2
16,20260808,2
16,20260815,2
16,20260822,2
16,20260829,1
17,20260612,2
17,20260619,2
17,20260626,2
17,20260703,2
17,20260828,2
18,20260611,2
18,20260618,1
18,20260625,2
18,20260702,2
18,20260709,2
18,20260716,2
18,20260723,2
18,20260730,2
18,20260806,2
18,20260813,2
18,20260820,2
18,20260827,2
19,20260610,2
19,20260617,2
19,20260624,2
19,20260701,1
19,20260708,2
19,20260715,2
19,20260722,2
19,20260729,2
19,20260805,2
19,20260812,2
19,20260819,2
19,20260826,2
