service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,0,0,0,0,0,1,0,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,0,0,0,0,0,0,1,20260329,20260828
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260413,20260501
LLR_2026-05-04_20260409_Link_PinehurstMar26NB_Weekday,1,1,1,1,1,0,0,20260504,20260515
LLR_2026-05-18_20260331_Link_Spring26PinehurstSB_Weekday,1,1,1,1,1,0,0,20260518,20260521
LLR_2026-05-22_Jan29_Spring26_CLCrev_Weekday,0,0,0,0,1,0,0,20260522,20260522
LLR_2026-05-25_20260512_Link_MemorialDay_Sunday,1,0,0,0,0,0,0,20260525,20260526
LLR_2026-05-26_20260512_Link_JuneEMW_Weekday,0,1,1,1,0,0,0,20260526,20260528
LLR_2026-05-29_Jan29_Spring26_CLCrev_Weekday,0,0,0,0,1,0,0,20260529,20260529
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260601,20260828
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,1,1,1,1,1,0,0,20260415,20260828
SNDR_2026-05-03_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260503,20260503
SNDR_2026-05-17_20260427_Sounder_EventStart1620_Weekend,0,0,0,0,0,0,1,20260517,20260517
SNDR_2026-05-31_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260531,20260531
SNDR_2026-06-21_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260621,20260621
SNDR_2026-07-05_20260427_Sounder_EventStart1400_Weekend,0,0,0,0,0,0,1,20260705,20260706
SNDR_2026-07-19_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260719,20260719
SNDR_2026-08-01_20260427_Sounder_EventStart1730_Weekend,0,0,0,0,0,1,0,20260801,20260801
SNDR_2026-08-02_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260802,20260802
SNDR_2026-08-09_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260809,20260809
SNDR_2026-08-23_20260427_Sounder_EventStart1310_Weekend,0,0,0,0,0,0,1,20260823,20260823
SNDR_2026-08-29_20260427_Sounder_EventStart1330_Weekend,0,0,0,0,0,1,0,20260829,20260829
TLINE_2026-01-24_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20260124,20260828
TLINE_2026-01-24_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20260124,20260828
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20260126,20260828
