service_id,date,exception_type
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,20260425,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,20260502,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,20260509,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,20260530,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,20260704,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,20260426,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,20260510,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,20260531,2
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,20260628,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260414,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260415,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260416,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260428,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260429,2
LLR_2026-04-13_Jan29_Spring26_CLCrev_Weekday,20260430,2
LLR_2026-04-14_20260331_Link_AprEMW_Weekday,20260414,1
LLR_2026-04-15_20260331_Link_AprEMW_Weekday,20260415,1
LLR_2026-04-16_20260331_Link_AprEMW_Weekday,20260416,1
LLR_2026-04-25_20260409_Link_ComboDisruption_Saturday,20260425,1
LLR_2026-04-26_Apr14_Link_April2026_26_Sunday,20260426,1
LLR_2026-04-28_20260409_Link_MayEMW_Weekday,20260428,1
LLR_2026-04-29_20260409_Link_MayEMW_Weekday,20260429,1
LLR_2026-04-30_20260409_Link_MayEMW_Weekday,20260430,1
LLR_2026-05-02_20260409_Link_2LineSignalXing_Saturday,20260502,1
LLR_2026-05-09_20260409_Link_OCSRepairTIBS_Saturday,20260509,1
LLR_2026-05-10_20260409_Link_OCSRepairTIBS_Sunday,20260510,1
LLR_2026-05-30_20260513_Link_Mega_Saturday,20260530,1
LLR_2026-05-31_20260513_Link_Mega_Sunday,20260531,1
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260615,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260619,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260624,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260626,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260701,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260703,2
LLR_2026-06-01_Jan29_Spring26_CLCrev_Weekday,20260706,2
LLR_2026-06-15_20260512_Link_FIFAWCRevision_Weekday,20260615,1
LLR_2026-06-19_20260512_Link_FIFAWCRevision_Weekday,20260619,1
LLR_2026-06-24_20260512_Link_FIFAWCRevision_Weekday,20260624,1
LLR_2026-06-26_20260512_Link_FIFAWCRevision_Weekday,20260626,1
LLR_2026-06-28_20260512_Link_PrideRevision_Sunday,20260628,1
LLR_2026-07-01_20260512_Link_FIFAWCRevision_Weekday,20260701,1
LLR_2026-07-03_20260601_Link_July3_Sunday,20260703,1
LLR_2026-07-04_20260601_Link_July4_Saturday,20260704,1
LLR_2026-07-06_20260512_Link_FIFAWCRevision_Weekday,20260706,1
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260525,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260615,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260619,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260624,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260626,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260701,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260703,2
SNDR_2026-04-15_Apr15_Sounder_Spring2026_Weekday,20260706,2
SNDR_2026-06-15_20260601_Sounder_FIFA1200PlanB_Weekday,20260615,1
SNDR_2026-06-19_20260601_Sounder_FIFA1200PlanB_Weekday,20260619,1
SNDR_2026-06-24_20260601_Sounder_FIFA1200PlanB_Weekday,20260624,1
SNDR_2026-06-26_20260601_Sounder_FIFA2000PlanB_Weekday,20260626,1
SNDR_2026-07-01_20260601_Sounder_FIFA1300PlanB_Weekday,20260701,1
SNDR_2026-07-06_20260601_Sounder_FIFA1700PlanB_Weekday,20260706,1
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,20260216,2
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,20260406,2
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,20260525,2
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,20260703,2
TLINE_2026-05-25_Aug25_TLine_v2_Sunday,20260525,1
TLINE_2026-07-03_Aug25_TLine_v2_Sunday,20260703,1
