table_name,field_name,language,translation,record_id,field_value
routes,route_long_name,es,1 Line - Bus Lanzadera,1-SHUTTLE,
routes,route_long_name,zh-Hans,1 Line 接驳巴士,1-SHUTTLE,
routes,route_long_name,ar,1 Line - حافلة مكوكية,1-SHUTTLE,
routes,route_long_name,bs,1 Line - Shuttle autobus,1-SHUTTLE,
routes,route_long_name,hr,1 Line - Shuttle autobus,1-SHUTTLE,
routes,route_long_name,nl,1 Line - Pendelbus,1-SHUTTLE,
routes,route_long_name,fr,1 Line - Bus navette,1-SHUTTLE,
routes,route_long_name,de,1 Line - Pendelbus,1-SHUTTLE,
routes,route_long_name,it,1 Line - Bus navetta,1-SHUTTLE,
routes,route_long_name,ko,1 Line - 셔틀버스,1-SHUTTLE,
routes,route_long_name,fa,1 Line - اتوبوس شاتل,1-SHUTTLE,
routes,route_long_name,ru,1 Line - Автобус-шаттл,1-SHUTTLE,
routes,route_long_name,sr,1 Line - Аутобус-шатл,1-SHUTTLE,
routes,route_long_name,tl,1 Line - Shuttle Bus,1-SHUTTLE,
routes,route_long_name,vi,1 Line - Xe trung chuyển,1-SHUTTLE,
routes,route_long_name,cy,1 Line - Bws Gwennol,1-SHUTTLE,
routes,route_long_name,sw,Basi la Mbadala Ruti wa 1,1-SHUTTLE,
routes,route_long_name,pt-PT,1 Line - Autocarro Naveta,1-SHUTTLE,
routes,route_long_name,af,1 Line - Pendelbus,1-SHUTTLE,
routes,route_long_name,es,2 Line - Bus Lanzadera,2-SHUTTLE,
routes,route_long_name,zh-Hans,2 Line 接驳巴士,2-SHUTTLE,
routes,route_long_name,ar,2 Line - حافلة مكوكية,2-SHUTTLE,
routes,route_long_name,bs,2 Line - Shuttle autobus,2-SHUTTLE,
routes,route_long_name,hr,2 Line - Shuttle autobus,2-SHUTTLE,
routes,route_long_name,nl,2 Line - Pendelbus,2-SHUTTLE,
routes,route_long_name,fr,2 Line - Bus navette,2-SHUTTLE,
routes,route_long_name,de,2 Line - Pendelbus,2-SHUTTLE,
routes,route_long_name,it,2 Line - Bus navetta,2-SHUTTLE,
routes,route_long_name,ko,2 Line - 셔틀버스,2-SHUTTLE,
routes,route_long_name,fa,2 Line - اتوبوس شاتل,2-SHUTTLE,
routes,route_long_name,ru,2 Line - Автобус-шаттл,2-SHUTTLE,
routes,route_long_name,sr,2 Line - Аутобус-шатл,2-SHUTTLE,
routes,route_long_name,tl,2 Line - Shuttle Bus,2-SHUTTLE,
routes,route_long_name,vi,2 Line - Xe trung chuyển,2-SHUTTLE,
routes,route_long_name,cy,2 Line - Bws Gwennol,2-SHUTTLE,
routes,route_long_name,sw,Basi la Mbadala Ruti wa 2,2-SHUTTLE,
routes,route_long_name,pt-PT,2 Line - Autocarro Naveta,2-SHUTTLE,
routes,route_long_name,af,2 Line - Pendelbus,2-SHUTTLE,
routes,route_long_name,es,T Line - Bus de Reemplazo,TLINE_S,
routes,route_long_name,zh-Hans,T Line 替代巴士,TLINE_S,
routes,route_long_name,ar,T Line - حافلة بديلة,TLINE_S,
